みんなが静かになるまで5分かかりました,大事なことなので一回しかいいません
みんなが静かになるまで5分かかりました,怒らないから正直に言いなさい
みんなが静かになるまで5分かかりました,誰がやったかはもう分かってます
みんなが静かになるまで5分かかりました,みんなが静かになるまで5分かかりました
みんなが静かになるまで5分かかりました,手短に話を終わらせます
みんなが静かになるまで5分かかりました,謝りに来るまで授業しないからな
みんなが静かになるまで5分かかりました,行けたら行きます
大事なことなので一回しかいいません,みんなが静かになるまで5分かかりました
大事なことなので一回しかいいません,怒らないから正直に言いなさい
大事なことなので一回しかいいません,誰がやったかはもう分かってます
大事なことなので一回しかいいません,みんなが静かになるまで5分かかりました
大事なことなので一回しかいいません,手短に話を終わらせます
大事なことなので一回しかいいません,謝りに来るまで授業しないからな
大事なことなので一回しかいいません,行けたら行きます
怒らないから正直に言いなさい,みんなが静かになるまで5分かかりました
怒らないから正直に言いなさい,大事なことなので一回しかいいません
怒らないから正直に言いなさい,誰がやったかはもう分かってます
怒らないから正直に言いなさい,みんなが静かになるまで5分かかりました
怒らないから正直に言いなさい,手短に話を終わらせます
怒らないから正直に言いなさい,謝りに来るまで授業しないからな
怒らないから正直に言いなさい,行けたら行きます
誰がやったかはもう分かってます,みんなが静かになるまで5分かかりました
誰がやったかはもう分かってます,大事なことなので一回しかいいません
誰がやったかはもう分かってます,怒らないから正直に言いなさい
誰がやったかはもう分かってます,みんなが静かになるまで5分かかりました
誰がやったかはもう分かってます,手短に話を終わらせます
誰がやったかはもう分かってます,謝りに来るまで授業しないからな
誰がやったかはもう分かってます,行けたら行きます
みんなが静かになるまで5分かかりました,みんなが静かになるまで5分かかりました
みんなが静かになるまで5分かかりました,大事なことなので一回しかいいません
みんなが静かになるまで5分かかりました,怒らないから正直に言いなさい
みんなが静かになるまで5分かかりました,誰がやったかはもう分かってます
みんなが静かになるまで5分かかりました,手短に話を終わらせます
みんなが静かになるまで5分かかりました,謝りに来るまで授業しないからな
みんなが静かになるまで5分かかりました,行けたら行きます
手短に話を終わらせます,みんなが静かになるまで5分かかりました
手短に話を終わらせます,大事なことなので一回しかいいません
手短に話を終わらせます,怒らないから正直に言いなさい
手短に話を終わらせます,誰がやったかはもう分かってます
手短に話を終わらせます,みんなが静かになるまで5分かかりました
手短に話を終わらせます,謝りに来るまで授業しないからな
手短に話を終わらせます,行けたら行きます
謝りに来るまで授業しないからな,みんなが静かになるまで5分かかりました
謝りに来るまで授業しないからな,大事なことなので一回しかいいません
謝りに来るまで授業しないからな,怒らないから正直に言いなさい
謝りに来るまで授業しないからな,誰がやったかはもう分かってます
謝りに来るまで授業しないからな,みんなが静かになるまで5分かかりました
謝りに来るまで授業しないからな,手短に話を終わらせます
謝りに来るまで授業しないからな,行けたら行きます
行けたら行きます,みんなが静かになるまで5分かかりました
行けたら行きます,大事なことなので一回しかいいません
行けたら行きます,怒らないから正直に言いなさい
行けたら行きます,誰がやったかはもう分かってます
行けたら行きます,みんなが静かになるまで5分かかりました
行けたら行きます,手短に話を終わらせます
行けたら行きます,謝りに来るまで授業しないからな
手渡ししてくる寿司屋,メニューに何も書いていないフレンチ
手渡ししてくる寿司屋,皿の周りにやたらとソースを垂らすレストラン
メニューに何も書いていないフレンチ,手渡ししてくる寿司屋
メニューに何も書いていないフレンチ,皿の周りにやたらとソースを垂らすレストラン
皿の周りにやたらとソースを垂らすレストラン,手渡ししてくる寿司屋
皿の周りにやたらとソースを垂らすレストラン,メニューに何も書いていないフレンチ
ギリギリ遅刻してくるやつ,冬なのに半そで半ズボンのやつ
ギリギリ遅刻してくるやつ,先生のモノマネがうまいやつ
ギリギリ遅刻してくるやつ,かくれんぼで最後まで見つからないやつ
ギリギリ遅刻してくるやつ,ドッチボールで最後まで残るやつ
ギリギリ遅刻してくるやつ,グロい絵を見て俺ヤバいぜオーラを出すやる
ギリギリ遅刻してくるやつ,2ch語を日常の会話でやたら使うやつ
ギリギリ遅刻してくるやつ,毎日遊んでるのにテストの点数が超良い微イケメン
ギリギリ遅刻してくるやつ,テスト日の朝すごい眠そうな顔で来て「ぜんぜん勉強してねぇ」アピールするやつ
